time;ax;ay;az;aT
0.6160;0.3057;-0.6305;-1.2068;1.395
0.6300;0.8423;-0.6287;-1.1439;1.553
0.6310;1.3882;-0.6443;-0.7519;1.705
0.6320;1.5650;-0.7775;-0.7150;1.888
0.6370;1.3960;-0.8278;-0.8510;1.833
0.6430;1.2559;-0.8864;-0.7911;1.729
0.6470;1.1685;-0.9825;-0.7267;1.691
0.6530;1.0338;-1.0063;-0.6432;1.580
0.6580;0.9189;-1.0296;-0.5980;1.504
0.6620;0.9201;-1.0246;-0.6004;1.502
0.6670;1.0097;-0.9625;-0.5210;1.489
0.6740;0.8103;-0.7238;-0.4747;1.186
0.6770;0.3356;-0.4811;-0.4088;0.715
0.6820;0.0299;-0.3440;-0.4241;0.547
0.6870;-0.1751;-0.2785;-0.3819;0.504
0.6930;-0.3388;-0.1649;-0.0768;0.385
0.6970;-0.3103;0.0923;0.5243;0.616
0.7020;-0.3115;0.2199;0.7468;0.839
0.7150;-0.2936;0.2262;0.7066;0.798
0.7160;-0.1691;0.1731;0.7392;0.778
0.7170;-0.0668;0.0125;0.7870;0.790
0.7240;-0.0576;-0.1458;0.7785;0.794
0.7320;-0.1455;-0.2535;0.6610;0.723
0.7330;-0.2867;-0.3676;0.6831;0.827
0.7370;-0.6475;-0.2873;0.6678;0.974
0.7500;-0.9073;-0.0270;0.6772;1.132
0.7510;-0.9752;0.1267;0.7493;1.236
0.7530;-0.7704;0.3123;0.8076;1.159
0.7580;-0.6135;0.4201;0.7993;1.092
0.7630;-0.5524;0.5126;0.9062;1.179
0.7680;-0.5868;0.6180;0.9848;1.302
0.7750;-0.6925;0.7265;1.1118;1.498
0.7780;-0.7786;0.7946;1.1774;1.620
0.7840;-0.7928;0.8030;1.2150;1.658
0.7880;-0.8359;0.7802;1.4019;1.809
0.7990;-0.8085;0.7310;1.5464;1.892
0.8000;-0.7636;0.7272;1.5100;1.842
0.8030;-0.7398;0.7307;1.4936;1.820
0.8090;-0.6888;0.7033;1.3155;1.643
0.8160;-0.7156;0.6695;1.1909;1.542
0.8180;-0.7190;0.6821;1.2488;1.594
0.8320;-0.6844;0.7077;1.3885;1.702
0.8330;-0.6457;0.7079;1.4474;1.736
0.8340;-0.6463;0.6729;1.4447;1.720
0.8390;-0.7483;0.6743;1.4047;1.729
0.8440;-0.7790;0.6258;1.4277;1.743
0.8490;-0.6950;0.5373;1.3798;1.636
0.8540;-0.6023;0.4617;1.2897;1.496
0.8590;-0.5484;0.4230;1.1812;1.369
0.8640;-0.5563;0.3935;0.8819;1.114
0.8690;-0.6779;0.3780;0.5688;0.962
0.8750;-0.7542;0.3198;0.2418;0.854
0.8790;-0.7041;0.1233;0.0346;0.716
0.8840;-0.5670;-0.1201;-0.0482;0.582
0.8890;-0.4919;-0.1997;-0.1168;0.544
0.8990;-0.6365;0.0712;-0.3531;0.731
0.9020;-0.8371;0.4436;-0.6088;1.126
0.9050;-0.8631;0.7504;-0.6594;1.320
0.9230;-0.8579;0.9254;-0.3905;1.321
0.9240;-0.6839;1.0017;0.0542;1.214
0.9240;-0.4714;0.9502;0.3925;1.131
0.9250;-0.2639;0.8323;0.5436;1.029
0.9290;-0.2046;0.7000;0.6325;0.965
0.9340;-0.1639;0.5814;0.6643;0.898
0.9420;-0.1273;0.4667;0.6773;0.832
0.9450;-0.1477;0.3985;0.6909;0.811
0.9490;-0.1626;0.3338;0.7768;0.861
0.9550;-0.2347;0.3301;0.7532;0.855
0.9600;-0.2345;0.4013;0.7255;0.862
0.9650;-0.2624;0.4186;0.6888;0.848
0.9700;-0.3521;0.3965;0.6766;0.860
0.9750;-0.4128;0.3974;0.5931;0.825
0.9800;-0.4737;0.3020;0.3619;0.668
0.9850;-0.4727;0.2883;0.2552;0.610
1.0000;-0.4913;0.2560;0.1294;0.569
1.0010;-0.4814;0.2101;-0.0970;0.534
1.0030;-0.4855;0.1653;-0.1944;0.549
1.0050;-0.4509;0.1219;-0.3066;0.559
1.0270;-0.4061;0.1135;-0.3715;0.562
1.0270;-0.3988;0.1162;-0.4370;0.603
1.0280;-0.3758;0.0918;-0.4507;0.594
1.0280;-0.4185;0.0305;-0.5033;0.655
1.0330;-0.4408;0.0090;-0.4513;0.631
1.0350;-0.4522;0.0221;-0.4383;0.630
1.0420;-0.5247;0.0602;-0.4879;0.719
1.0460;-0.5815;0.0564;-0.5191;0.782
1.0510;-0.6562;0.1110;-0.4551;0.806
1.0560;-0.6439;0.1424;-0.4777;0.814
1.0620;-0.6546;0.1602;-0.4385;0.804
1.0660;-0.6502;0.1212;-0.4235;0.785
1.0710;-0.6216;0.1018;-0.2702;0.685
1.0770;-0.5498;0.1115;-0.0885;0.568
1.0810;-0.4642;0.0878;-0.0888;0.481
1.0860;-0.3695;0.0787;-0.1034;0.392
1.1000;-0.3179;0.0748;-0.1949;0.380
1.1010;-0.2661;0.0760;-0.2098;0.347
1.1080;-0.2092;0.0581;-0.1769;0.280
1.1090;-0.2145;0.0595;-0.1393;0.263
1.1500;-0.1956;0.0464;-0.0300;0.203
1.1510;-0.2008;0.0234;0.0506;0.208
1.1510;-0.2635;0.0958;0.1791;0.333
1.1520;-0.3264;0.1336;0.2458;0.430
1.1520;-0.3701;0.1895;0.2411;0.481
1.1530;-0.3948;0.1583;0.2464;0.492
1.1530;-0.4197;0.1644;0.2857;0.534
1.1530;-0.4162;0.1457;0.2345;0.499
1.1540;-0.4417;0.1121;0.1405;0.477
1.1560;-0.4436;0.1262;0.0851;0.469
