time;ax;ay;az;aT
0.6200;-0.1347;0.1925;0.0565;0.242
0.6250;-0.1365;0.2048;0.0227;0.247
0.6300;-0.1154;0.2271;-0.1013;0.274
0.6340;-0.1000;0.2453;-0.2152;0.341
0.6490;-0.0851;0.1981;-0.2956;0.366
0.6500;-0.0657;0.2049;-0.3238;0.389
0.6510;-0.0607;0.2416;-0.2718;0.369
0.6550;-0.0888;0.2695;-0.2634;0.387
0.6610;-0.0120;0.2414;-0.2367;0.338
0.6640;0.0598;0.1667;-0.2581;0.313
0.6700;0.1462;0.1169;-0.1940;0.270
0.6750;0.0999;0.0198;-0.0782;0.128
0.6800;0.1357;-0.0722;0.0038;0.154
0.6850;0.2149;-0.1452;0.1139;0.283
0.6930;0.2151;-0.1966;0.3785;0.478
0.6950;0.1728;-0.2019;0.4619;0.533
0.7000;0.2220;-0.2332;0.4794;0.577
0.7050;0.2574;-0.2761;0.5266;0.648
0.7110;0.2694;-0.2590;0.5031;0.627
0.7150;0.2339;-0.2344;0.4424;0.553
0.7200;0.2033;-0.2023;0.3971;0.490
0.7260;0.1300;-0.1813;0.3096;0.382
0.7310;0.0760;-0.1516;0.1605;0.234
0.7350;0.0172;-0.1128;0.0501;0.125
0.7490;-0.0895;-0.0596;-0.1224;0.163
0.7500;-0.0958;-0.0106;-0.1899;0.213
0.7510;-0.1500;0.0681;-0.2435;0.294
0.7550;-0.1563;0.1050;-0.2880;0.344
0.7670;-0.2201;0.1382;-0.3331;0.423
0.7680;-0.1931;0.1056;-0.3739;0.434
0.7710;-0.2046;0.0451;-0.4007;0.452
0.7760;-0.2163;-0.0382;-0.4088;0.464
0.7810;-0.1707;-0.1540;-0.3935;0.456
0.7880;-0.0633;-0.2351;-0.4504;0.512
0.7920;-0.0134;-0.2863;-0.5030;0.579
0.7960;-0.0446;-0.3027;-0.5035;0.589
0.8010;-0.0853;-0.2941;-0.4854;0.574
0.8090;-0.0632;-0.2705;-0.4581;0.536
0.8110;0.0793;-0.3380;-0.3398;0.486
0.8160;0.1320;-0.4250;-0.1401;0.467
0.8220;0.1762;-0.4176;0.1364;0.473
0.8260;0.1348;-0.4163;0.3894;0.586
0.8310;0.0600;-0.4122;0.6813;0.799
0.8370;0.0664;-0.4532;0.8351;0.952
0.8500;0.0669;-0.3770;0.9469;1.021
0.8510;-0.0438;-0.2888;0.9066;0.952
0.8520;-0.1462;-0.2073;0.7859;0.826
0.8580;-0.1398;-0.1703;0.5609;0.603
0.8610;-0.1293;-0.1244;0.3412;0.386
0.8680;-0.1001;-0.1121;0.2414;0.284
0.8720;-0.0712;-0.1045;0.0890;0.155
0.8770;-0.0663;-0.1392;-0.0395;0.159
0.8820;-0.0615;-0.1634;-0.1732;0.246
0.8870;-0.0276;-0.1480;-0.2260;0.272
0.8920;-0.0221;-0.1503;-0.3559;0.387
0.8970;0.0318;-0.1702;-0.3956;0.432
0.9020;0.0386;-0.2127;-0.3784;0.436
0.9090;0.0555;-0.1916;-0.3716;0.422
0.9120;0.0776;-0.2219;-0.3126;0.391
0.9170;0.0618;-0.2945;-0.2206;0.373
0.9230;0.0511;-0.3140;-0.1672;0.359
0.9270;0.0264;-0.3525;-0.0517;0.357
0.9320;0.0491;-0.2815;0.0496;0.290
0.9370;0.0281;-0.3117;0.1798;0.361
0.9490;0.0972;-0.2853;0.2720;0.406
0.9500;0.0746;-0.2792;0.3406;0.447
0.9530;0.0607;-0.2551;0.3093;0.406
0.9660;0.0176;-0.2127;0.2832;0.355
0.9670;0.0459;-0.1470;0.1571;0.220
0.9690;0.0449;-0.0435;0.0695;0.093
0.9740;0.0339;0.0120;-0.0372;0.052
0.9780;-0.0014;0.0726;-0.1486;0.165
0.9830;-0.0226;0.1194;-0.2075;0.240
0.9880;-0.0484;0.1475;-0.2475;0.292
0.9930;-0.0115;0.1523;-0.1921;0.245
0.9980;-0.0080;0.1574;-0.1848;0.243
1.0030;0.0149;0.1388;-0.2157;0.257
1.0090;0.0334;0.0964;-0.2180;0.241
1.0130;0.0188;0.0492;-0.2060;0.213
1.0180;0.0526;0.0116;-0.1508;0.160
1.0260;0.0822;-0.0407;-0.0717;0.116
1.0280;0.0740;-0.0213;0.0935;0.121
