time;ax;ay;az;aT
0.6170;0.1105;-0.0844;0.0721;0.157
0.6220;0.1127;-0.1006;0.0609;0.163
0.6280;0.0578;-0.1452;-0.0071;0.156
0.6320;0.0554;-0.1230;-0.0128;0.136
0.6380;-0.0134;-0.0678;-0.0232;0.073
0.6430;-0.0863;-0.0225;0.0282;0.094
0.6480;-0.0259;0.0033;0.0840;0.088
0.6520;-0.0423;0.0147;0.0728;0.085
0.6580;-0.0921;0.0590;0.0191;0.111
0.6690;-0.0846;0.0841;0.0180;0.121
0.6700;-0.0155;0.1042;0.0169;0.107
0.6730;-0.0231;0.0719;-0.0317;0.082
0.6810;-0.0403;0.1252;-0.0988;0.165
0.6850;-0.0147;0.1592;-0.1512;0.220
0.6880;-0.0179;0.1361;-0.0798;0.159
0.6930;0.0073;0.1182;-0.1183;0.167
0.6990;0.0418;0.1147;-0.1328;0.180
0.7030;0.0712;0.0688;-0.1378;0.170
0.7080;0.0910;-0.0142;-0.0813;0.123
0.7140;0.1296;-0.0485;0.0836;0.162
0.7180;0.0967;0.0080;0.0950;0.136
0.7230;0.1214;-0.0022;0.1062;0.161
0.7300;0.1366;-0.0076;0.1553;0.207
0.7330;0.0901;-0.0130;0.1899;0.211
0.7380;0.0964;0.0001;0.1531;0.181
0.7450;0.1031;-0.0059;0.2165;0.240
0.7480;0.0955;-0.0125;0.2655;0.282
0.7530;0.0879;0.0468;0.2574;0.276
0.7590;0.0516;0.0812;0.1833;0.207
0.7640;0.0392;0.0956;0.1671;0.196
0.7690;0.0740;0.0952;0.1276;0.176
0.7740;0.0324;0.0660;0.0506;0.089
0.7860;0.0336;0.1036;0.0217;0.111
0.7870;0.0537;0.1552;-0.0641;0.176
0.7890;0.0595;0.1356;-0.0496;0.156
0.7960;0.0651;0.1354;0.0738;0.167
0.7990;0.0230;0.1261;0.0678;0.145
0.8040;0.0615;0.0838;0.0521;0.116
0.8120;0.1137;0.0801;0.1647;0.216
0.8150;0.1223;0.0621;0.2384;0.275
0.8190;0.0496;0.0822;0.2545;0.272
0.8240;0.0768;0.0639;0.2753;0.293
0.8300;0.1274;0.0646;0.2533;0.291
0.8340;0.1109;0.0128;0.2410;0.266
0.8390;0.1089;-0.0292;0.2290;0.255
0.8460;0.0689;-0.0520;0.2172;0.234
0.8510;0.0057;-0.0322;0.1772;0.180
0.8540;0.0051;-0.0130;0.1139;0.115
0.8600;0.0427;0.0061;0.1272;0.134
0.8700;0.0377;-0.0224;0.0787;0.090
0.8710;0.0997;-0.0365;0.0305;0.110
0.8750;0.0334;-0.0314;0.0446;0.064
0.8820;0.0584;-0.0453;0.0253;0.078
0.8850;0.0979;-0.0448;0.0298;0.112
0.8900;0.0900;-0.0538;0.0296;0.109
0.8970;0.0683;-0.0626;0.0246;0.096
0.9000;0.0563;-0.0430;0.0529;0.088
0.9050;0.0348;-0.0522;0.0289;0.069
0.9120;-0.0011;-0.0140;0.0479;0.050
0.9150;0.0293;0.0285;-0.0187;0.045
