time;gFx;gFy;gFz;TgF
0.002000;-0.1617;0.5375;0.7588;0.944
0.013000;-0.1295;0.5272;0.7417;0.919
0.014000;-0.1007;0.5189;0.7764;0.939
0.027000;-0.0870;0.5199;0.8135;0.969
0.030000;-0.0723;0.5272;0.8526;1.005
0.040000;-0.0816;0.5228;0.8717;1.020
0.051000;-0.0674;0.5067;0.8829;1.020
0.060000;-0.0415;0.5184;0.8912;1.032
0.071000;-0.0151;0.4974;0.8839;1.014
0.081000;-0.0132;0.4759;0.8903;1.010
0.091000;-0.0327;0.4847;0.8839;1.009
0.103000;-0.0410;0.4867;0.8868;1.012
0.111000;-0.0410;0.4876;0.9020;1.026
0.121000;-0.0347;0.4754;0.8844;1.005
0.130000;-0.0577;0.4740;0.8751;0.997
0.142000;-0.0479;0.4637;0.9078;1.021
0.153000;-0.0396;0.4920;0.8419;0.976
0.164000;-0.0005;0.4779;0.8321;0.960
0.172000;0.0489;0.4466;0.8502;0.962
0.182000;0.0694;0.4437;0.8497;0.961
0.191000;0.0713;0.4598;0.8487;0.968
0.203000;0.0625;0.4725;0.8590;0.982
0.212000;0.0450;0.4593;0.8453;0.963
0.224000;0.0279;0.4481;0.8243;0.939
0.236000;0.0015;0.4427;0.7989;0.913
0.243000;0.0068;0.4388;0.7984;0.911
0.254000;0.0283;0.4124;0.8648;0.959
0.263000;0.0029;0.4134;0.9396;1.027
0.281000;0.0088;0.4192;0.9977;1.082
0.287000;0.0088;0.4202;1.0432;1.125
0.298000;0.0342;0.4124;1.0574;1.135
0.308000;0.0689;0.4095;1.0363;1.116
0.314000;0.0806;0.4119;1.0070;1.091
0.324000;0.0982;0.4363;0.9772;1.075
0.336000;0.1031;0.4461;0.9249;1.032
0.345000;0.1104;0.4500;0.8903;1.004
0.356000;0.1109;0.4417;0.8433;0.958
0.365000;0.1339;0.4334;0.8199;0.937
0.375000;0.1412;0.4197;0.8243;0.936
0.387000;0.1036;0.4148;0.8385;0.941
0.395000;0.0831;0.4334;0.8688;0.974
0.406000;0.0547;0.4476;0.9098;1.015
0.415000;0.0552;0.4427;0.9406;1.041
0.431000;0.0743;0.4129;0.9611;1.049
0.438000;0.0972;0.3914;0.9728;1.053
0.463000;0.0958;0.3674;0.9596;1.032
0.464000;0.0406;0.3884;0.9528;1.030
0.473000;-0.0230;0.3963;0.9635;1.042
0.478000;-0.0645;0.4012;0.9596;1.042
0.487000;-0.0723;0.4270;1.0046;1.094
0.497000;-0.1617;0.4383;1.0114;1.114
0.507000;0.0191;0.3826;1.0188;1.088
0.516000;0.0850;0.3313;0.9572;1.016
0.526000;0.0953;0.3298;0.8893;0.953
0.544000;0.0889;0.3274;0.8341;0.900
0.548000;0.0684;0.3357;0.8287;0.897
0.563000;0.0635;0.3464;0.8546;0.924
0.566000;0.0332;0.3601;0.8746;0.946
0.577000;-0.0581;0.3757;0.9015;0.978
0.589000;-0.0489;0.3738;0.9230;0.997
0.597000;-0.0591;0.3450;0.9870;1.047
0.607000;-0.0489;0.3215;1.0222;1.073
0.617000;-0.0493;0.3039;1.0530;1.097
0.628000;-0.0606;0.3029;1.0676;1.111
0.639000;-0.0567;0.3083;1.0745;1.119
0.647000;-0.0415;0.3112;1.0622;1.108
0.658000;-0.0249;0.3142;1.0481;1.094
0.668000;-0.0093;0.3225;1.0178;1.068
0.679000;0.0098;0.3337;0.9728;1.029
0.690000;0.0132;0.3484;0.9245;0.988
0.698000;0.0254;0.3611;0.9020;0.972
